City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,East London,ZA,2021-11-23 21:32:42,-33.0153,27.9116,61.39,72,72,19.46
193,Biak,ID,2021-11-23 21:34:20,-0.9131,122.8766,77.13,81,85,2.33
194,Thunder Bay,CA,2021-11-23 21:34:20,48.4001,-89.3168,37.99,68,75,12.66
195,Nioro,GM,2021-11-23 21:34:21,13.35,-15.75,79.23,69,34,7.05
196,Nemuro,JP,2021-11-23 21:34:21,43.3236,145.575,41.29,62,100,13.38
197,Ribeira Do Pombal,BR,2021-11-23 21:34:22,-10.8344,-38.5358,82.44,57,96,13.67
198,Marsabit,KE,2021-11-23 21:34:22,2.3284,37.9899,70.0,54,80,8.57
199,Touros,BR,2021-11-23 21:34:23,-5.1989,-35.4608,79.7,79,55,15.1
200,Byron Bay,AU,2021-11-23 21:34:23,-28.65,153.6167,75.16,88,100,9.42
201,Sola,VU,2021-11-23 21:34:23,-13.8833,167.55,77.67,83,90,0.0
202,Maceio,BR,2021-11-23 21:34:24,-9.6658,-35.7353,81.84,74,0,11.5
203,Newton,US,2021-11-23 21:34:24,42.337,-71.2092,37.58,46,1,5.99
204,Ankola,IN,2021-11-23 21:34:25,14.6667,74.3,77.94,88,60,4.41
205,Ulaangom,MN,2021-11-23 21:34:25,49.9811,92.0667,10.6,90,100,3.6
206,Moerai,PF,2021-11-23 21:34:26,-22.4333,-151.3333,73.54,64,78,6.13
207,Kinsale,IE,2021-11-23 21:34:26,51.7075,-8.5306,36.77,100,75,11.5
208,Tongren,CN,2021-11-23 21:34:26,27.7172,109.1853,46.76,87,18,1.57
209,Antalaha,MG,2021-11-23 21:34:27,-14.9003,50.2788,72.7,78,40,2.3
210,Lagoa,PT,2021-11-23 21:34:27,39.05,-27.9833,66.22,84,100,22.35
211,Samarai,PG,2021-11-23 21:34:28,-10.6167,150.6667,84.27,76,25,13.18
212,Vila Franca Do Campo,PT,2021-11-23 21:34:28,37.7167,-25.4333,65.19,88,99,14.94
213,Carlsbad,US,2021-11-23 21:31:05,33.1581,-117.3506,78.28,65,1,4.0
214,Hualmay,PE,2021-11-23 21:34:29,-11.0964,-77.6139,67.32,80,100,9.64
215,Kapit,MY,2021-11-23 21:34:29,2.0167,112.9333,73.33,100,100,0.74
216,La Libertad,EC,2021-11-23 21:34:30,-2.2333,-80.9,73.06,83,75,9.22
217,Richards Bay,ZA,2021-11-23 21:34:30,-28.783,32.0377,68.56,63,81,16.33
218,Chokurdakh,RU,2021-11-23 21:34:31,70.6333,147.9167,-26.43,99,98,5.86
219,Tashara,RU,2021-11-23 21:34:31,55.5195,83.5094,25.66,94,100,15.95
220,Bandarbeyla,SO,2021-11-23 21:34:31,9.4942,50.8122,80.06,56,97,11.25
221,Sobolevo,RU,2021-11-23 21:34:32,54.4299,31.8996,21.76,65,1,7.4
222,Sawtell,AU,2021-11-23 21:34:32,-30.3833,153.1,72.19,97,40,3.44
223,New Norfolk,AU,2021-11-23 21:34:33,-42.7826,147.0587,66.65,70,100,0.74
224,Kaitangata,NZ,2021-11-23 21:34:33,-46.2817,169.8464,60.21,51,100,4.72
225,Oriximina,BR,2021-11-23 21:34:34,-1.7656,-55.8661,80.71,72,49,3.58
226,Banjar,ID,2021-11-23 21:35:34,-8.19,114.9675,78.66,89,99,4.25
227,Adrar,MR,2021-11-23 21:35:34,20.5022,-10.0711,77.77,34,52,8.21
228,Charleville,AU,2021-11-23 21:35:35,-26.4,146.25,75.27,60,100,10.36
229,Lompoc,US,2021-11-23 21:33:57,34.6391,-120.4579,81.01,53,1,12.66
230,Nuuk,GL,2021-11-23 21:35:35,64.1835,-51.7216,36.21,100,75,46.04
231,General Cepeda,MX,2021-11-23 21:35:36,25.3833,-101.45,71.01,38,23,5.26
232,Randolph,US,2021-11-23 21:35:36,35.7001,-79.8164,47.71,34,2,1.99
233,Ballina,AU,2021-11-23 21:35:37,-28.8667,153.5667,75.24,88,40,14.97
234,Ekibastuz,KZ,2021-11-23 21:35:37,51.6667,75.3667,23.85,79,36,16.11
235,Sorland,NO,2021-11-23 21:35:38,67.667,12.6934,35.67,63,96,29.04
236,Brae,GB,2021-11-23 21:35:38,60.3964,-1.353,49.91,84,100,27.2
237,Havelock,US,2021-11-23 21:35:38,34.8791,-76.9013,47.01,47,0,1.99
238,Dunedin,NZ,2021-11-23 21:35:39,-45.8742,170.5036,58.73,59,100,1.81
239,Grand Gaube,MU,2021-11-23 21:35:39,-20.0064,57.6608,73.8,83,65,1.99
240,Khatanga,RU,2021-11-23 21:34:15,71.9667,102.5,0.7,79,97,19.73
241,Soligalich,RU,2021-11-23 21:35:40,59.0778,42.2864,20.8,93,97,7.83
242,Denpasar,ID,2021-11-23 21:34:28,-8.65,115.2167,78.46,94,40,5.75
243,Thinadhoo,MV,2021-11-23 21:35:41,0.5333,72.9333,81.84,76,100,16.58
244,Menongue,AO,2021-11-23 21:35:41,-14.6585,17.691,66.13,58,31,4.79
245,Srednekolymsk,RU,2021-11-23 21:35:41,67.45,153.6833,-22.07,97,100,3.65
246,Koson,UZ,2021-11-23 21:35:42,39.0375,65.585,52.12,56,82,3.53
247,Ilulissat,GL,2021-11-23 21:35:43,69.2167,-51.1,17.62,41,100,12.66
248,Puerto Rondon,CO,2021-11-23 21:35:43,6.2805,-71.1,82.85,70,72,2.95
249,Ouallam,NE,2021-11-23 21:35:43,14.3188,2.0866,82.74,15,0,10.76
250,Caluquembe,AO,2021-11-23 21:35:44,-13.7833,14.6833,63.16,93,95,5.57
251,Eydhafushi,MV,2021-11-23 21:35:44,5.1033,73.0708,80.98,72,99,15.59
252,Amuntai,ID,2021-11-23 21:35:44,-2.4177,115.2494,72.61,99,99,0.92
253,Mandiana,GN,2021-11-23 21:35:45,10.6333,-8.6833,78.13,26,0,2.68
254,Bayburt,TR,2021-11-23 21:31:10,40.2589,40.2278,36.77,72,95,4.23
255,Mount Gambier,AU,2021-11-23 21:35:46,-37.8333,140.7667,58.91,94,40,3.44
256,Lingyuan,CN,2021-11-23 21:35:46,41.24,119.4011,23.77,49,3,3.18
257,Lisala,CD,2021-11-23 21:35:46,2.15,21.5167,72.5,76,76,1.74
258,Puerto Escondido,MX,2021-11-23 21:35:47,15.85,-97.0667,83.23,83,20,6.91
259,Maldonado,UY,2021-11-23 21:35:47,-34.6667,-54.9167,62.22,61,0,7.14
260,Ancud,CL,2021-11-23 21:31:41,-41.8697,-73.8203,65.73,85,41,8.46
261,Cabra,ES,2021-11-23 21:35:48,37.4725,-4.4421,44.04,89,100,5.01
262,Fortuna,US,2021-11-23 21:31:08,40.5982,-124.1573,60.42,70,1,4.0
263,Ostersund,SE,2021-11-23 21:35:48,63.1792,14.6357,36.61,80,40,21.85
264,Lavrentiya,RU,2021-11-23 21:35:49,65.5833,-171.0,0.68,88,9,8.97
265,Kahului,US,2021-11-23 21:32:54,20.8947,-156.47,84.22,60,20,17.27
266,Homer,US,2021-11-23 21:30:56,59.6425,-151.5483,17.47,70,90,6.91
267,Iskateley,RU,2021-11-23 21:35:50,67.6803,53.1512,17.35,93,100,11.45
268,San Andres,CO,2021-11-23 21:31:26,12.5847,-81.7006,86.02,66,75,10.36
269,Parga,GR,2021-11-23 21:35:50,39.2831,20.3964,57.2,76,91,6.06
270,Lorengau,PG,2021-11-23 21:36:51,-2.0226,147.2712,80.98,82,100,11.45
271,Bethel,US,2021-11-23 21:36:51,41.3712,-73.414,39.78,41,1,3.0
272,Yar-Sale,RU,2021-11-23 21:36:51,66.8333,70.8333,8.53,96,97,8.5
273,Pontianak,ID,2021-11-23 21:36:52,-0.0333,109.3333,75.18,94,90,3.44
274,Porgera,PG,2021-11-23 21:36:52,-5.4667,143.2,49.17,90,93,0.96
275,Pavilosta,LV,2021-11-23 21:36:53,56.8879,21.1859,40.95,74,85,17.13
276,Fairbanks,US,2021-11-23 21:35:25,64.8378,-147.7164,-2.24,60,1,3.44
277,Bethanien,NA,2021-11-23 21:36:53,-26.502,17.1583,69.08,40,2,8.63
278,Koungou,YT,2021-11-23 21:36:54,-12.7336,45.2042,78.51,83,0,8.05
279,Fort Nelson,CA,2021-11-23 21:35:11,58.8053,-122.7002,0.99,78,75,0.0
280,Kiama,AU,2021-11-23 21:36:54,-34.6833,150.8667,68.58,88,100,3.0
281,Vilhena,BR,2021-11-23 21:36:55,-12.7406,-60.1458,84.42,65,40,9.22
282,Kandi,BJ,2021-11-23 21:36:56,11.1342,2.9386,81.81,20,50,4.16
283,Hambantota,LK,2021-11-23 21:36:56,6.1241,81.1185,75.54,100,40,2.3
284,Kuusamo,FI,2021-11-23 21:36:57,65.9667,29.1833,21.24,93,90,4.61
285,Tolga,DZ,2021-11-23 21:36:57,34.7222,5.3785,56.21,44,100,3.6
286,Kasempa,ZM,2021-11-23 21:36:58,-13.4584,25.8338,63.43,93,100,4.29
287,Bathsheba,BB,2021-11-23 21:36:58,13.2167,-59.5167,83.01,74,40,10.36
288,Santa Isabel Do Rio Negro,BR,2021-11-23 21:36:58,-0.4139,-65.0192,78.33,89,100,1.7
289,Kutum,SD,2021-11-23 21:36:59,14.2,24.6667,62.08,22,1,8.86
290,Inhambane,MZ,2021-11-23 21:36:59,-23.865,35.3833,72.97,92,98,16.75
291,Halifax,CA,2021-11-23 21:35:57,44.6453,-63.5724,38.34,95,100,8.01
292,Jonuta,MX,2021-11-23 21:37:00,18.0833,-92.1333,83.25,68,11,6.31
293,Chalmette,US,2021-11-23 21:37:00,29.9427,-89.9634,64.45,42,1,3.0
