City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Marfino,RU,55.7028,37.3822,34.05,91,90,17.9,light snow
296,Cockburn Town,TC,21.4612,-71.1419,79.65,64,100,18.19,overcast clouds
297,Port Blair,IN,11.6667,92.75,81.14,82,100,13.4,overcast clouds
298,Lookan,PH,5.037,120.1027,82.6,76,94,4.94,overcast clouds
299,Lakes Entrance,AU,-37.8811,147.981,66.58,93,100,6.44,overcast clouds
300,Machalpur,IN,24.1333,76.3,66.61,45,0,3.74,clear sky
301,Dingle,PH,10.9995,122.6711,76.75,93,97,6.96,overcast clouds
302,Nadvoitsy,RU,63.8667,34.3167,19.92,96,94,7.43,overcast clouds
303,Carauari,BR,-4.8828,-66.8958,80.38,90,93,2.39,light rain
304,Yankton,US,42.8711,-97.3973,36.12,75,90,24.16,overcast clouds
305,Lichinga,MZ,-13.3128,35.2406,69.89,83,75,9.22,broken clouds
306,Anadyr,RU,64.75,177.4833,-14.01,75,0,8.01,clear sky
307,Grindavik,IS,63.8424,-22.4338,36.07,64,90,10.36,overcast clouds
308,Asau,RO,46.4333,26.4,30.76,85,5,3.44,clear sky
309,San Patricio,US,28.017,-97.5169,82.81,68,94,19.6,overcast clouds
310,Port-Cartier,CA,50.0334,-66.8654,34.02,54,0,15.26,clear sky
311,Sinjar,IQ,36.3209,41.8754,54.05,57,55,1.83,broken clouds
312,Kaitangata,NZ,-46.2817,169.8464,60.66,53,100,2.66,overcast clouds
313,Chapais,CA,49.7834,-74.8492,26.38,87,47,7.34,scattered clouds
314,Tigil,RU,57.8,158.6667,5.85,91,7,4.03,clear sky
315,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,20,11.5,few clouds
316,Kidal,ML,18.4411,1.4078,80.85,25,3,10.2,clear sky
317,Westport,US,41.1415,-73.3579,45.05,42,1,1.01,clear sky
318,Ahipara,NZ,-35.1667,173.1667,62.83,80,93,3.09,overcast clouds
319,Jalu,LY,29.0331,21.5482,68.58,32,0,6.55,clear sky
320,Kribi,CM,2.95,9.9167,79.57,89,94,10.47,overcast clouds
321,Ostrovnoy,RU,68.0531,39.5131,28.72,48,99,24.38,overcast clouds
322,Lata,PT,40.1629,-8.3327,52.92,92,3,3.29,clear sky
323,Constitucion,CL,-35.3333,-72.4167,60.57,73,8,10.22,clear sky
324,Antofagasta,CL,-23.65,-70.4,63.68,68,19,8.86,few clouds
325,Sindor,RU,62.8629,51.8905,6.46,95,100,5.55,overcast clouds
326,Trairi,BR,-3.2778,-39.2689,81.28,77,66,12.75,broken clouds
327,Narsaq,GL,60.9167,-46.05,32.22,99,100,6.64,heavy snow
328,Cape Town,ZA,-33.9258,18.4232,64.11,52,0,12.66,clear sky
329,Hajnowka,PL,52.7433,23.5812,42.03,84,100,1.01,overcast clouds
330,Aninoasa,RO,44.9667,25.4333,37.72,99,39,1.16,scattered clouds
331,Giyani,ZA,-23.3025,30.7187,66.54,74,6,13.11,clear sky
332,Whitehorse,CA,60.7161,-135.0538,14.77,78,75,10.0,light snow
333,Sambava,MG,-14.2667,50.1667,74.3,79,26,3.11,scattered clouds
334,Mirnyy,RU,62.5353,113.9611,-10.5,99,100,3.69,overcast clouds
335,Torbay,CA,47.6666,-52.7314,50.29,98,90,17.27,fog
336,Umm Lajj,SA,25.0213,37.2685,76.64,56,17,8.79,few clouds
337,Freeport,US,40.6576,-73.5832,46.36,42,1,4.0,clear sky
338,San Quintin,MX,30.4833,-115.95,66.56,63,99,9.13,overcast clouds
339,Bam,IR,29.106,58.357,58.57,53,0,2.68,clear sky
340,Cabo San Lucas,MX,22.8909,-109.9124,84.61,53,1,8.01,clear sky
341,Sur,OM,22.5667,59.5289,78.58,35,0,6.6,clear sky
342,Pitimbu,BR,-7.4706,-34.8086,81.19,75,3,11.41,clear sky
343,Olafsvik,IS,64.8945,-23.7142,35.8,91,100,22.46,overcast clouds
344,Flinders,AU,-34.5833,150.8552,71.19,93,100,1.01,light rain
345,Nelson,NZ,-41.2833,173.2833,71.8,66,100,3.47,overcast clouds
346,Qarchi Gak,AF,37.04,66.7889,55.44,51,0,10.13,clear sky
